Season,Date,HomeTeam,AwayTeam,HalfTimeHomeScore,HalfTimeAwayScore,HalfTimeResult,FullTimeHomeScore,FullTimeAwayScore,FullTimeResult,HomeCorners,AwayCorners,TotalCorners
2021,20/09/2020,Betis,Valladolid,2,0,H,2,0,H,5,3,8
2021,26/09/2020,Betis,Real Madrid,2,1,H,2,3,A,8,3,11
2021,18/10/2020,Betis,Sociedad,0,1,A,0,3,A,6,2,8
2021,01/11/2020,Betis,Elche,2,0,H,3,1,H,1,1,2
2021,30/11/2020,Betis,Eibar,0,0,D,0,2,A,6,2,8
2021,13/12/2020,Betis,Villarreal,0,1,A,1,1,D,4,8,12
2021,23/12/2020,Betis,Cadiz,0,0,D,1,0,H,5,5,10
2021,02/01/2021,Betis,Sevilla,0,0,D,1,1,D,2,1,3
2021,20/01/2021,Betis,Celta,2,1,H,2,1,H,5,6,11
2021,01/02/2021,Betis,Osasuna,0,0,D,1,0,H,3,4,7
2021,07/02/2021,Betis,Barcelona,1,0,H,2,3,A,3,5,8
2021,19/02/2021,Betis,Getafe,0,0,D,1,0,H,5,2,7
2021,08/03/2021,Betis,Alaves,0,2,A,3,2,H,12,1,13
2021,19/03/2021,Betis,Levante,0,0,D,2,0,H,4,1,5
2021,11/04/2021,Betis,Ath Madrid,1,1,D,1,1,D,5,5,10
2021,18/04/2021,Betis,Valencia,2,1,H,2,2,D,6,3,9
2021,21/04/2021,Betis,Ath Bilbao,0,0,D,0,0,D,5,4,9
2021,10/05/2021,Betis,Granada,1,0,H,2,1,H,9,2,11
2021,16/05/2021,Betis,Huesca,0,0,D,1,0,H,2,5,7
2122,20/08/2021,Betis,Cadiz,1,1,D,1,1,D,4,5,9
2122,28/08/2021,Betis,Real Madrid,0,0,D,0,1,A,3,7,10
2122,19/09/2021,Betis,Espanol,2,1,H,2,2,D,10,4,14
2122,26/09/2021,Betis,Getafe,1,0,H,2,0,H,3,3,6
2122,24/10/2021,Betis,Vallecano,2,1,H,3,2,H,4,4,8
2122,27/10/2021,Betis,Valencia,2,1,H,4,1,H,4,7,11
2122,07/11/2021,Betis,Sevilla,0,0,D,0,2,A,2,1,3
2122,28/11/2021,Betis,Levante,0,1,A,3,1,H,5,8,13
2122,12/12/2021,Betis,Sociedad,1,0,H,4,0,H,4,7,11
2122,02/01/2022,Betis,Celta,0,2,A,0,2,A,3,3,6
2122,18/01/2022,Betis,Alaves,3,0,H,4,0,H,8,3,11
2122,06/02/2022,Betis,Villarreal,0,1,A,0,2,A,6,6,12
2122,20/02/2022,Betis,Mallorca,1,0,H,2,1,H,4,7,11
2122,06/03/2022,Betis,Ath Madrid,1,1,D,1,3,A,10,3,13
2122,13/03/2022,Betis,Ath Bilbao,1,0,H,1,0,H,5,6,11
2122,03/04/2022,Betis,Osasuna,2,0,H,4,1,H,11,7,18
2122,19/04/2022,Betis,Elche,0,0,D,0,1,A,2,3,5
2122,07/05/2022,Betis,Barcelona,0,0,D,1,2,A,4,8,12
2122,15/05/2022,Betis,Granada,1,0,H,2,0,H,4,9,13
2223,15/08/2022,Betis,Elche,2,0,H,3,0,H,8,4,12
2223,26/08/2022,Betis,Osasuna,1,0,H,1,0,H,2,4,6
2223,11/09/2022,Betis,Villarreal,0,0,D,1,0,H,9,8,17
2223,18/09/2022,Betis,Girona,1,1,D,2,1,H,2,4,6
2223,16/10/2022,Betis,Almeria,1,0,H,3,1,H,9,3,12
2223,23/10/2022,Betis,Ath Madrid,0,0,D,1,2,A,7,4,11
2223,06/11/2022,Betis,Sevilla,1,0,H,1,1,D,1,4,5
2223,29/12/2022,Betis,Ath Bilbao,0,0,D,0,0,D,2,6,8
2223,01/02/2023,Betis,Barcelona,0,0,D,1,2,A,1,6,7
2223,04/02/2023,Betis,Celta,2,2,D,3,4,A,5,5,10
2223,18/02/2023,Betis,Valladolid,2,1,H,2,1,H,4,6,10
2223,05/03/2023,Betis,Real Madrid,0,0,D,0,0,D,5,3,8
2223,19/03/2023,Betis,Mallorca,0,0,D,1,0,H,4,4,8
2223,09/04/2023,Betis,Cadiz,0,0,D,0,2,A,5,6,11
2223,15/04/2023,Betis,Espanol,2,0,H,3,1,H,4,13,17
2223,25/04/2023,Betis,Sociedad,0,0,D,0,0,D,2,4,6
2223,15/05/2023,Betis,Vallecano,2,0,H,3,1,H,6,5,11
2223,24/05/2023,Betis,Getafe,0,0,D,0,1,A,2,5,7
2223,04/06/2023,Betis,Valencia,1,0,H,1,1,D,5,4,9
2324,20/08/2023,Betis,Ath Madrid,0,0,D,0,0,D,2,7,9
2324,02/09/2023,Betis,Vallecano,0,0,D,1,0,H,2,3,5
2324,24/09/2023,Betis,Cadiz,0,1,A,1,1,D,11,8,19
2324,01/10/2023,Betis,Valencia,1,0,H,3,0,H,5,3,8
2324,29/10/2023,Betis,Osasuna,1,0,H,2,1,H,6,3,9
2324,04/11/2023,Betis,Mallorca,1,0,H,2,0,H,6,1,7
2324,26/11/2023,Betis,Las Palmas,1,0,H,1,0,H,7,6,13
2324,09/12/2023,Betis,Real Madrid,0,0,D,1,1,D,8,6,14
2324,21/12/2023,Betis,Girona,0,1,A,1,1,D,7,6,13
2324,13/01/2024,Betis,Granada,0,0,D,1,0,H,13,1,14
2324,21/01/2024,Betis,Barcelona,0,1,A,2,4,A,3,4,7
2324,04/02/2024,Betis,Getafe,1,1,D,1,1,D,3,5,8
2324,18/02/2024,Betis,Alaves,0,0,D,0,0,D,6,8,14
2324,25/02/2024,Betis,Ath Bilbao,2,1,H,3,1,H,5,3,8
2324,10/03/2024,Betis,Villarreal,2,1,H,2,3,A,11,4,15
2324,12/04/2024,Betis,Celta,0,0,D,2,1,H,6,5,11
2324,28/04/2024,Betis,Sevilla,1,0,H,1,1,D,4,6,10
2324,12/05/2024,Betis,Almeria,2,1,H,3,2,H,3,5,8
2324,19/05/2024,Betis,Sociedad,0,2,A,0,2,A,6,2,8
2425,15/08/2024,Betis,Girona,1,0,H,1,1,D,4,4,8
2425,13/09/2024,Betis,Leganes,0,0,D,2,0,H,11,1,12
2425,18/09/2024,Betis,Getafe,0,0,D,2,1,H,8,4,12
2425,23/09/2024,Betis,Mallorca,1,1,D,1,2,A,6,3,9
2425,29/09/2024,Betis,Espanol,0,0,D,1,0,H,8,4,12
2425,27/10/2024,Betis,Ath Madrid,1,0,H,1,0,H,3,10,13
